"break_size","strategy","horizon","mean_rmse","mean_mae"
"large","full","h1",1.27336195893961,1.03400584268108
"large","full","h4",1.22000703153897,0.985561301409708
"large","full","h8",1.22296604093928,0.988956158607909
"large","recursive","h1",1.02052957286954,0.81765247042171
"large","recursive","h4",1.19775264641436,0.963764664405608
"large","recursive","h8",1.20668705896957,0.972134857333634
"large","rolling_104","h1",1.02607355742032,0.822034885333985
"large","rolling_104","h4",1.19942449313873,0.964758428554163
"large","rolling_104","h8",1.21113036797962,0.974460055545843
"large","rolling_26","h1",1.09824190908693,0.879507280789579
"large","rolling_26","h4",1.28280761209326,1.03111598222796
"large","rolling_26","h8",1.29754556178887,1.0418560503299
"large","rolling_52","h1",1.05519219510971,0.844885724668152
"large","rolling_52","h4",1.23731280885051,0.993093523353194
"large","rolling_52","h8",1.24635866379213,1.00257515262117
"medium","full","h1",1.28005478630519,1.03763533545821
"medium","full","h4",1.19534613490633,0.963415988937073
"medium","full","h8",1.19065979182396,0.960513213968764
"medium","recursive","h1",1.01788251512234,0.815997102568687
"medium","recursive","h4",1.18159667592792,0.949504476890578
"medium","recursive","h8",1.18345773172969,0.952342473743268
"medium","rolling_104","h1",1.02877096032282,0.825638800818864
"medium","rolling_104","h4",1.19443396954333,0.96079075587668
"medium","rolling_104","h8",1.19509442795036,0.961740523137546
"medium","rolling_26","h1",1.1019458183721,0.882528328657045
"medium","rolling_26","h4",1.2776690093752,1.02442768630514
"medium","rolling_26","h8",1.27822271247067,1.02460380163489
"medium","rolling_52","h1",1.05751075001999,0.846967027730055
"medium","rolling_52","h4",1.24414965226553,0.998751848267992
"medium","rolling_52","h8",1.25116557797733,1.00579298713694
"small","full","h1",1.29244009557804,1.04940215556826
"small","full","h4",1.18383458058212,0.95293124237764
"small","full","h8",1.17529372976461,0.946641510984576
"small","recursive","h1",1.01887616213249,0.816595548170095
"small","recursive","h4",1.17499196112396,0.945891450920261
"small","recursive","h8",1.17293024622317,0.944836643529075
"small","rolling_104","h1",1.0276794669277,0.823969267198386
"small","rolling_104","h4",1.18606297616748,0.954284395008824
"small","rolling_104","h8",1.18490338462739,0.954550034963215
"small","rolling_26","h1",1.10377927074714,0.884596363898888
"small","rolling_26","h4",1.27568607491626,1.02088519257408
"small","rolling_26","h8",1.27886944913389,1.02465872621478
"small","rolling_52","h1",1.0590362660567,0.848844235621524
"small","rolling_52","h4",1.23955335573635,0.994480626200891
"small","rolling_52","h8",1.23849658324828,0.99612637957887
